,importance
amount,1.509570699697401
gender_F,0.21879753691813109
industry_sportsandtoys,0.20536319041398438
industry_leisure,0.12771372779615991
age_2,0.09727713933085265
industry_hyper,0.09199815755362652
industry_wellnessandbeauty,0.0829245016005965
industry_hotelservices,0.0757624832595007
age_4,0.06994022873509227
industry_otherservices,0.06626375073887725
age_3,0.055131288808383826
age_1,0.04793205202936072
age_5,0.04206469822466555
industry_home,0.01147811809313764
industry_health,0.010853169397676481
age_6,-0.020612960631243384
industry_tech,-0.0246775525907106
industry_fashion,-0.051807415978457894
age_U,-0.09167655367856639
industry_travel,-0.13272198260133417
industry_contents,-0.19576471457232217
industry_food,-1.0196137432531303
industry_transportation,-2.2844067787435236
