,importance
merchant_M480139044,1.4749769452576604
amount,1.4687854346476052
merchant_M151143676,1.4379779963943913
merchant_M209847108,0.7895046753881904
industry_hyper,0.7401744408200066
merchant_M855959430,0.7401744408200066
merchant_M50039827,0.6453666962201602
industry_sportsandtoys,0.638069424912031
merchant_M547558035,0.6283284406913776
industry_wellnessandbeauty,0.6272178708265976
merchant_M1535107174,0.6200109399265666
merchant_M1198415165,0.6137610927299064
merchant_M692898500,0.5899561771234175
merchant_M980657600,0.5587146346546327
merchant_M840466850,0.5155442610597147
merchant_M78078399,0.5028080007879049
age_2,0.4223775025759791
merchant_M2122776122,0.39020266913237206
age_3,0.3692114322502884
age_4,0.35597751883512385
merchant_M923029380,0.347259062038477
merchant_M1873032707,0.31717470486058646
merchant_M1888755466,0.3029402443850306
industry_otherservices,0.3029402443850306
age_5,0.2985487678305208
merchant_M2011752106,0.2871076782764417
merchant_M1649169323,0.27939906945152815
age_1,0.2775535896572079
industry_leisure,0.2644172137523832
merchant_M1748431652,0.25237043466363096
merchant_M1741626453,0.24559825787387374
merchant_M732195782,0.21933658969692754
merchant_M857378720,0.2038253373740995
merchant_M3697346,0.20070099369070407
industry_tech,0.19514697988695634
gender_F,0.19514442080066483
merchant_M17379832,0.19465296139184826
industry_travel,0.17801789507538113
merchant_M1294758098,0.17226019971349626
merchant_M1353266412,0.1623044957875149
industry_hotelservices,0.15487255508587186
merchant_M348875670,0.15149990071137107
age_6,0.14063183217412178
merchant_M933210764,0.0770531630876941
merchant_M2080407379,0.00672355211901878
industry_home,0.0006679094499249912
merchant_M117188757,-0.038953886192920714
merchant_M495352832,-0.045196941702526056
merchant_M677738360,-0.04589511401626938
merchant_M1313686961,-0.0561458914816265
industry_fashion,-0.058388067073599885
age_U,-0.0627242722534934
industry_contents,-0.07254339751312502
merchant_M1416436880,-0.12915683596371616
merchant_M1726401631,-0.14532092882132142
merchant_M1352454843,-0.1712159150341689
merchant_M1788569036,-0.17447902661908082
merchant_M97925176,-0.19665631504206943
merchant_M45060432,-0.20932973867515473
merchant_M1872033263,-0.22487805865465302
merchant_M1600850729,-0.22810417153014947
merchant_M349281107,-0.23409543018540518
merchant_M1823072687,-0.25649722369924405
merchant_M348934600,-0.26438590982437554
merchant_M1842530320,-0.285299484689875
merchant_M1400236507,-0.287361818489423
merchant_M1913465890,-0.31956096536987544
merchant_M85975013,-0.3567289164652084
industry_food,-0.3567289164652084
industry_health,-0.5204982013474242
merchant_M1946091778,-0.5907056718750919
industry_transportation,-0.7080227376481812
